fill	x	y
#F8766D	0.681260457334077	0.694805194805195
#F8766D	0.714723926380368	0.724321133412042
#F8766D	0.664528722810931	0.747933884297521
#F8766D	0.720301171221417	0.712514757969303
#F8766D	0.63106525376464	0.736127508854782
#F8766D	0.759341885108756	0.736127508854782
#F8766D	0.675683212493029	0.706611570247934
#F8766D	0.67010596765198	0.641676505312869
#F8766D	0.664528722810931	0.635773317591499
#F8766D	0.686837702175125	0.682998819362455
#F8766D	0.681260457334077	0.712514757969303
#F8766D	0.709146681539319	0.75383707201889
#F8766D	0.63106525376464	0.653482880755608
#F8766D	0.603179029559397	0.706611570247934
#F8766D	0.803959843837144	0.75974025974026
#F8766D	0.731455660903514	0.706611570247934
#F8766D	0.753764640267708	0.836481700118064
#F8766D	0.764919129949805	0.736127508854782
#F8766D	0.78165086447295	0.783353010625738
#F8766D	0.792805354155047	0.789256198347108
#F8766D	0.653374233128834	0.700708382526565
#F8766D	0.737032905744562	0.712514757969303
#F8766D	0.709146681539319	0.742030696576151
#F8766D	0.725878416062465	0.765643447461629
#F8766D	0.67010596765198	0.653482880755608
#F8766D	0.619910764082544	0.677095631641086
#F8766D	0.67010596765198	0.742030696576151
#F8766D	0.647796988287786	0.677095631641086
#F8766D	0.748187395426659	0.765643447461629
#F8766D	0.714723926380368	0.700708382526565
#F8766D	0.737032905744562	0.688902007083825
#F8766D	0.725878416062465	0.600354191263282
#F8766D	0.686837702175125	0.671192443919717
#F8766D	0.686837702175125	0.694805194805195
#F8766D	0.709146681539319	0.742030696576151
#F8766D	0.675683212493029	0.694805194805195
#F8766D	0.709146681539319	0.712514757969303
#F8766D	0.759341885108756	0.736127508854782
#F8766D	0.692414947016174	0.688902007083825
#F8766D	0.664528722810931	0.682998819362455
#F8766D	0.653374233128834	0.718417945690673
#F8766D	0.625488008923592	0.665289256198347
#F8766D	0.63106525376464	0.706611570247934
#F8766D	0.681260457334077	0.747933884297521
#F8766D	0.692414947016174	0.712514757969303
#F8766D	0.642219743446737	0.665289256198347
#F8766D	0.625488008923592	0.62396694214876
#F8766D	0.63106525376464	0.718417945690673
#F8766D	0.625488008923592	0.677095631641086
#F8766D	0.720301171221417	0.765643447461629
#F8766D	0.664528722810931	0.75383707201889
#F8766D	0.636642498605689	0.694805194805195
#F8766D	0.681260457334077	0.682998819362455
#F8766D	0.636642498605689	0.718417945690673
#F8766D	0.586447295036252	0.606257378984652
